MARKER,ISIN,BSE CODE,NSE SYMBOL,NSE SERIES,FACE VALUE,BC or RD,BC START DATE or RECORD DATE,BSE EXDATE,NSE EXDATE,TYPE of CORPORATE ACTION,DIV in RS,SHARES_OFFERED,SHARES_HOLDING,OLD_PAIDUP,NEW_PAIDUP,OFFER PRICE,NARRATIONS,UNIQUE_SERIAL_NO,UPDATE_FLAG
VSMO,INE854S01014,539407,,,10,R,18-09-2018,17-09-2018,,DI,0.10,,,,,,DIVIDEND - 1% (2017-2018)^^STOCK SPLIT from Rs 10 to Rs 5.^^Note : On BSE the transactions in the equity shares (physical) of the Company in the Exit-Route Scheme will be for Rs 5 paid up with effect from 17.9.2018.,119910,M
VSMO,INE854S01014,539407,,,10,R,18-09-2018,17-09-2018,,SS,,0002,0001,0010.00,0005.00,,,119910,M
VSMO,INE062Y01012,540730,,,10,R,19-09-2018,18-09-2018,,BO,,0001,0001,,,,BONUS,122598,M
VSMO,INE748A01016,532629,MBECL,BE,10,B,20-09-2018,18-09-2018,18-09-2018,DI,0.00,,,,,,DIVIDEND - Nil (YE 31.3.2018)^^Annual General Meeting,120611,M
VSMO,INE730A01022,513121,ORICONENT,EQ,2,B,20-09-2018,18-09-2018,18-09-2018,DI,0.50,,,,,,DIVIDEND - 25% (YE 31.3.2018)^^Annual General Meeting,120830,M
VSMO,INE588B01014,532491,ECEIND,EQ,10,B,20-09-2018,,18-09-2018,DI,2.50,,,,,,DIVIDEND - 25% (Final) (YE 31.3.2018)^^Annual General Meeting,115580,M
VSMO,INE519C01017,533306,SUMMITSEC,EQ,10,B,20-09-2018,18-09-2018,18-09-2018,DI,0.00,,,,,,DIVIDEND - Nil (YE 31.3.2018)^^Annual General Meeting,120034,M
VSMO,INE569C01020,504879,ORIENTABRA,EQ,1,B,20-09-2018,18-09-2018,18-09-2018,DI,0.25,,,,,,DIVIDEND - 25% (Final) (YE 31.3.2018)^^Annual General Meeting,120003,M
VSMO,INE480C01012,507514,SDBL,EQ,10,B,21-09-2018,18-09-2018,,DI,1.50,,,,,,DIVIDEND - 15% (2017-2018)^^Annual General Meeting,119476,M
VSMO,INE194R01017,539730,,,10,B,21-09-2018,18-09-2018,,DI,0.60,,,,,,DIVIDEND - 6% (Final) (2017-2018)^^Annual General Meeting,121009,M
VSMO,INE583B01015,526725,SANDESH,EQ,10,B,21-09-2018,18-09-2018,18-09-2018,DI,0.00,,,,,,DIVIDEND - Nil (Final) (YE 31.3.2018)^^Annual General Meeting,120451,M
VSMO,INE618D01015,506003,,,10,R,22-09-2018,19-09-2018,,OT,,,,,,,NIL,123725,A
VSMO,INE864E01021,530621,,,5,B,22-09-2018,19-09-2018,,DI,0.55,,,,,,DIVIDEND - 11% (Final) (2017-2018)^^Annual General Meeting,120729,M
VSMO,INE359B01010,533056,,,10,B,22-09-2018,19-09-2018,,DI,1.00,,,,,,DIVIDEND - 10% (YE 31.3.2018)^^Annual General Meeting,122945,M
VSMO,INE364Z01019,,REPL,SM,10,B,22-09-2018,,,DI,0.50,,,,,,DIVIDEND - 5% (Final) ^^Annual General Meeting,122740,M
VSMO,INE707C01018,511505,CAPTRUST,EQ,10,B,23-09-2018,19-09-2018,,DI,0.50,,,,,,DIVIDEND - 5% (Final)^^Annual General Meeting,120014,M
VSMO,INE844X01015,500278,MIDEASTI,EQ,10,B,25-09-2018,12-09-2018,,DI,0.00,,,,,,DIVIDEND - Nil (Final) (YE 31.3.2018)^^Annual General Meeting,120563,M
VSMO,INE839X01015,500274,MESCOPHARM,EQ,10,B,25-09-2018,12-09-2018,,DI,0.00,,,,,,DIVIDEND - Nil (YE 31.3.2018)^^Annual General Meeting,120770,M
